72,1640.0 revolutions_per_minute,27.8431372549 percent,68 kilopascal,57 degC
73,1568.0 revolutions_per_minute,1.96078431373 percent,25 kilopascal,55 degC
74,645.0 revolutions_per_minute,13.7254901961 percent,34 kilopascal,57 degC
75,1879.0 revolutions_per_minute,25.0980392157 percent,58 kilopascal,58 degC
76,1701.0 revolutions_per_minute,56.862745098 percent,118 kilopascal,57 degC
77,2164.0 revolutions_per_minute,37.2549019608 percent,74 kilopascal,59 degC
78,2045.0 revolutions_per_minute,2.74509803922 percent,24 kilopascal,60 degC
79,1766.0 revolutions_per_minute,21.9607843137 percent,44 kilopascal,61 degC
80,1709.0 revolutions_per_minute,1.56862745098 percent,25 kilopascal,61 degC
81,1735.0 revolutions_per_minute,18.0392156863 percent,41 kilopascal,60 degC
82,1971.0 revolutions_per_minute,22.3529411765 percent,50 kilopascal,60 degC
83,1924.0 revolutions_per_minute,39.6078431373 percent,79 kilopascal,62 degC
84,1888.0 revolutions_per_minute,24.7058823529 percent,52 kilopascal,63 degC
85,1898.0 revolutions_per_minute,35.6862745098 percent,72 kilopascal,64 degC
86,1596.0 revolutions_per_minute,14.1176470588 percent,55 kilopascal,66 degC
87,1908.0 revolutions_per_minute,24.3137254902 percent,52 kilopascal,66 degC
88,2042.0 revolutions_per_minute,0.0 percent,24 kilopascal,66 degC
89,1027.0 revolutions_per_minute,7.8431372549 percent,28 kilopascal,65 degC
90,1564.0 revolutions_per_minute,30.5882352941 percent,62 kilopascal,65 degC
91,1791.0 revolutions_per_minute,51.7647058824 percent,103 kilopascal,65 degC
92,1847.0 revolutions_per_minute,10.1960784314 percent,27 kilopascal,66 degC
93,1724.0 revolutions_per_minute,12.5490196078 percent,32 kilopascal,67 degC
94,981.0 revolutions_per_minute,7.8431372549 percent,27 kilopascal,67 degC
95,1576.0 revolutions_per_minute,62.3529411765 percent,129 kilopascal,67 degC
96,1955.0 revolutions_per_minute,34.1176470588 percent,70 kilopascal,68 degC
97,1931.0 revolutions_per_minute,33.3333333333 percent,68 kilopascal,70 degC
98,2068.0 revolutions_per_minute,34.9019607843 percent,72 kilopascal,71 degC
99,1968.0 revolutions_per_minute,32.5490196078 percent,67 kilopascal,72 degC
100,2025.0 revolutions_per_minute,6.66666666667 percent,25 kilopascal,73 degC
101,1877.0 revolutions_per_minute,0.0 percent,24 kilopascal,73 degC
102,1817.0 revolutions_per_minute,0.0 percent,25 kilopascal,72 degC
103,1253.0 revolutions_per_minute,7.8431372549 percent,27 kilopascal,72 degC
104,1840.0 revolutions_per_minute,0.0 percent,25 kilopascal,72 degC
105,1663.0 revolutions_per_minute,38.0392156863 percent,72 kilopascal,73 degC
106,2331.0 revolutions_per_minute,43.5294117647 percent,86 kilopascal,73 degC
107,1830.0 revolutions_per_minute,0.0 percent,24 kilopascal,75 degC
108,1599.0 revolutions_per_minute,34.9019607843 percent,71 kilopascal,76 degC
109,1939.0 revolutions_per_minute,25.0980392157 percent,54 kilopascal,77 degC
110,1861.0 revolutions_per_minute,21.568627451 percent,48 kilopascal,77 degC
111,864.0 revolutions_per_minute,9.80392156863 percent,29 kilopascal,78 degC
112,1233.0 revolutions_per_minute,18.0392156863 percent,46 kilopascal,78 degC
113,816.0 revolutions_per_minute,10.5882352941 percent,31 kilopascal,79 degC
114,648.0 revolutions_per_minute,43.5294117647 percent,77 kilopascal,79 degC
115,1309.0 revolutions_per_minute,20.3921568627 percent,61 kilopascal,79 degC
116,867.0 revolutions_per_minute,9.01960784314 percent,30 kilopascal,79 degC
117,649.0 revolutions_per_minute,12.1568627451 percent,35 kilopascal,80 degC
118,645.0 revolutions_per_minute,12.5490196078 percent,32 kilopascal,81 degC
119,661.0 revolutions_per_minute,12.1568627451 percent,32 kilopascal,80 degC
120,649.0 revolutions_per_minute,12.1568627451 percent,32 kilopascal,80 degC
121,646.0 revolutions_per_minute,12.9411764706 percent,32 kilopascal,80 degC
122,661.0 revolutions_per_minute,12.1568627451 percent,32 kilopascal,80 degC
123,648.0 revolutions_per_minute,12.5490196078 percent,32 kilopascal,79 degC
124,650.0 revolutions_per_minute,12.1568627451 percent,32 kilopascal,79 degC
125,650.0 revolutions_per_minute,12.5490196078 percent,32 kilopascal,79 degC
126,647.0 revolutions_per_minute,12.5490196078 percent,32 kilopascal,79 degC
127,None,None,None,None
128,None,None,None,None
129,None,None,None,None
130,None,None,None,None
131,None,None,None,None
132,None,None,None,None
133,None,None,None,None
134,None,None,None,None
135,None,None,None,None
136,1228.0 revolutions_per_minute,5.49019607843 percent,32 kilopascal,79 degC
137,688.0 revolutions_per_minute,12.1568627451 percent,35 kilopascal,78 degC
138,651.0 revolutions_per_minute,12.5490196078 percent,33 kilopascal,78 degC
139,None,None,None,None
140,None,None,None,None
141,None,None,None,None
142,None,None,None,None
143,None,None,None,None
144,None,None,None,None
145,None,None,None,None
146,None,None,None,None
147,None,None,None,None
148,None,None,None,None
