TIMESTAMP,PIDS_A,PIDS_B,PIDS_C,MIDS_A,MIDS_B,MIDS_C,MIDS_D,MIDS_E,MIDS_F,
2017-11-07 13:28:19.531336,null,null,null,,null,null,null,null,null,
2017-11-07 13:28:25.041201,null,null,null,,null,null,null,null,null,
2017-11-07 13:28:30.521754,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:28:35.818637,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:28:41.098166,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:28:46.326166,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:28:51.583247,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:28:56.864479,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:02.167041,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:07.409664,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:12.632338,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:17.890959,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:23.174683,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:28.385323,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:33.658458,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:38.948598,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:44.214893,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:49.424814,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:54.714878,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:29:59.974820,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:05.206641,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:10.433672,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:15.714987,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:20.986185,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:26.272861,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:31.533788,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:36.777515,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:42.085686,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:47.371490,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:52.612691,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:30:57.898910,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:31:03.122746,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
2017-11-07 13:31:08.340876,null,null,null,0000000011000000000000000000000000000001,null,null,null,null,null,
